x	y	z	elevation_mask	use_for_kriging	LCV.pred	LCV.var
-12450	17950	455	593.86181132541	TRUE	1355.2542532768	87777.6791160662
-12350	17950	455	593.01587469401	TRUE	1359.71105425498	88300.8846515248
-12250	17950	455	589.116187407891	TRUE	1368.27469904933	88580.7112105505
-12150	17950	455	587.03020840204	TRUE	1376.73296210401	88649.010592286
-12050	17950	455	588.709631820223	TRUE	1377.45810616289	88650.8561701002
-14950	18050	455	577.500250087101	TRUE	1380.3969329559	88619.3109558105
-14850	18050	455	576.987644059635	TRUE	1379.21176021381	88638.1999779389
-14750	18050	455	572.512787463518	TRUE	1377.83728678148	88649.4251337322
-14650	18050	455	568.914664586075	TRUE	1377.45810616289	88650.8561701002
-14550	18050	455	565.082726552829	TRUE	1377.45810616289	88650.8561701002
-14450	18050	455	563.778968175298	TRUE	1373.59340179987	88645.2941747971
-14350	18050	455	558.890667529803	TRUE	1351.92756486024	88552.7987005795
-14250	18050	455	562.173646398097	TRUE	1341.89069390749	88145.4225008153
-14150	18050	455	558.016366726923	TRUE	1358.40540891973	87237.1879165444
-14050	18050	455	564.628915031461	TRUE	1394.31702380986	85968.6870008853
-13950	18050	455	565.802493310168	TRUE	1436.50539269243	84916.270863614
-13850	18050	455	571.095029372055	TRUE	1458.87843429322	84772.7206915427
-13750	18050	455	573.819869416376	TRUE	1452.46985205294	85596.897725675
-13650	18050	455	575.890650756756	TRUE	1426.99159365474	86760.7838799364
-13550	18050	455	576.47485912545	TRUE	1389.20402553945	87681.5804764738
-13450	18050	455	574.597087080766	TRUE	1355.25962996827	88203.0280687019
-13350	18050	455	575.174529062787	TRUE	1354.61616156578	88467.9821570494
-13250	18050	455	573.594250175065	TRUE	1371.04080547915	88608.0111044002
-13150	18050	455	580.52164611427	TRUE	1378.05503248431	88647.2056043167
-13050	18050	455	584.621123593997	TRUE	1377.52990054329	88648.4697494119
-12950	18050	455	586.452836143959	TRUE	1373.59395760818	88629.8158791107
-12850	18050	455	591.928227506565	TRUE	1366.1627441464	88548.4936151308
-12750	18050	455	593.621454450408	TRUE	1361.83377209179	88423.8795888842
-12650	18050	455	592.558071302415	TRUE	1360.4310911153	88349.0219083191
-12550	18050	455	599.684149179653	TRUE	1361.17560249937	88391.5136125024
-12450	18050	455	597.561700452491	TRUE	1364.43218778917	88512.2258546277
-12350	18050	455	601.904842870046	TRUE	1371.2076955006	88613.3897219405
-12250	18050	455	592.240531000596	TRUE	1376.76138709389	88649.1433362556
-12150	18050	455	587.822255674582	TRUE	1377.45810616289	88650.8561701002
-12050	18050	455	588.100472935366	TRUE	1377.45810616289	88650.8561701002
-14950	18150	455	583.558018801547	TRUE	1386.86824941727	88380.0325129747
-14850	18150	455	581.572020947813	TRUE	1384.32438439161	88500.3959289724
-14750	18150	455	577.660594651396	TRUE	1381.0121947321	88606.0297601017
-14650	18150	455	574.410577948147	TRUE	1378.39245651057	88646.7831305365
-14550	18150	455	571.609943668883	TRUE	1378.13919955143	88648.5166537303
